price,settle,per,jc,gse,iv,cjl,cje,ccl
-0.31860954,-0.0985754,0.01327832,0.074018404,-0.17807615,0.10825917,-0.18654081,-0.008357987,-0.2792742
-0.13953353,0.009628724,0.042911112,0.18251613,-0.2735689,0.28032032,-0.2715351,-0.010875233,-0.41275004
0.52493495,0.3365466,0.004471883,0.15495348,-0.012553994,0.3619268,-0.325444,-0.007096425,-0.4450153
0.14533745,0.043490212,-0.001288173,-0.06387666,0.11126493,0.1269924,-0.041965008,0.00469698,-0.06493137
0.066449694,0.14268298,-0.015530714,-0.20060197,0.4104661,0.9130755,-0.20037445,0.005609479,-0.2959427
-0.24935836,-0.014824694,0.008873085,0.07937446,-0.11182726,0.20558,-0.11835617,-0.002216674,-0.18206581
-0.620162,0.407759,-0.000294039,0.2455727,0.077590026,0.36687192,-0.17273489,0.007409126,-0.26406208
-0.2115076,-0.1319191,0.0036746,-0.058524966,-0.000137394,0.057095975,-0.08092563,-0.004325308,-0.07212437
-0.17039269,-0.13935517,0.001314272,-0.06551553,0.001116338,-0.001517631,-0.0833451,-0.005182281,-0.09392112
-0.050576694,-0.04896541,0.003151745,-0.022471432,-0.00098003,0.002127448,-0.04521478,-0.001794696,-0.06998852
-0.052399013,-0.06972015,-0.012740114,-0.09522651,0.09732919,0.06229382,-0.039577343,-0.000372946,-0.04404648
-1.1710624,-0.29277205,-0.020387344,-0.041114338,-0.11001569,0.2265361,-0.2406053,-0.011142537,-0.34882173
-0.13298336,-0.040556505,0.003206313,-0.01632401,0.000750775,0.019380348,-0.04875996,-0.001207899,-0.07334372
-0.35807994,-0.16295111,0.012099388,-0.03286148,-0.066644356,0.046757013,-0.07510467,-0.003629036,-0.028196182
-0.11123316,-0.07593599,0.00424985,-0.029492099,-0.008251337,-0.026669191,-0.03808809,-0.000795148,-0.009050618
-0.122377746,-0.062782586,0.001622841,-0.015912723,-0.021150736,-0.041990735,-0.043868475,-0.002037786,-0.069852546
-0.122169636,-0.07479133,0.000898416,-0.018250056,-0.025801608,-0.045954287,-0.04210639,-0.0014726,0.014357997
-0.20691563,-0.1559538,-0.002837487,-0.058288336,-0.02749105,-0.08357811,-0.06511028,-0.005465403,0.037093565
-0.07955626,-0.075553924,-0.001444073,-0.044721454,0.011725394,-0.021588333,-0.024122542,-0.00075921,0.068503216
-0.15303816,0.04324841,0.00251061,0.07839008,-0.09170949,-0.033985324,-0.040291898,-0.000802029,-0.06401727
-0.093630455,-0.07540773,0.005544337,-0.011831645,-0.03775481,-0.049370922,-0.019711856,-0.000942245,0.028414277
-0.29703623,-0.2239881,0.014270728,0.017076764,-0.19728893,-0.15927415,-0.007703386,-0.011064887,-0.0018188
-0.2537001,-0.016715415,0.006679953,0.10020362,-0.16518645,-0.093361154,-0.036626756,-0.001835167,-0.03406415
-0.08250394,-0.07706597,-0.01633684,-0.018664509,-0.03022098,-0.062323183,-0.030710898,-0.001933269,-0.01631823
-0.06954268,-0.074250564,0.002003697,-0.020704087,-0.026273591,-0.07737051,-0.04453104,-0.003663428,-0.070150144
-0.20153214,-0.056466617,0.002684145,0.025280003,-0.08726705,-0.120311424,-0.09127024,-0.005569302,-0.107378304
-0.049483307,-0.06871399,0.005987919,-0.0187741,-0.02397413,-0.06567095,-0.031122692,-0.002422743,-0.06280205
-0.089225255,-0.14070922,-0.00199738,-0.024812777,-0.07260275,-0.10564333,0.05245211,-0.00517495,0.23367634
-0.14707954,0.016301926,0.02982324,0.16700073,-0.26485398,0.017112615,0.1965873,0.004064273,0.4147432
0.012198973,-0.14067633,0.008012695,-0.041517247,-0.04923953,-0.092891574,0.06629567,-0.004278004,0.19883324
-0.002308493,-0.067664064,-0.005869423,-0.012086947,-0.03389474,-0.06729811,-0.019939307,-0.001136791,-0.056445844
0.0347289,-0.21274504,0.00412917,-0.00146813,-0.1539803,-0.20799486,0.31547529,-0.002004407,0.25986838
0.20406413,-0.3096104,0.019638035,-0.24239974,0.12699774,-0.06312315,0.08618651,-0.013438538,0.4824611
-0.022495657,0.08887114,0.015830006,0.17045082,-0.20351613,-0.018390154,-0.09191781,-0.002090715,-0.1686935
0.6019659,-0.32830063,0.007723732,-0.31696412,0.22820373,0.08032791,0.16010597,0.006141208,0.31964502
-0.047434468,0.1543027,0.007550891,0.15980656,-0.13601759,0.06433224,-0.088722244,-0.003295332,-0.13769081
-0.0981217,-0.001404615,0.009821665,0.018654611,-0.040228896,0.113358185,-0.14471145,-0.006461598,-0.0784323
-0.04650137,0.002314962,0.003387997,-0.013104692,0.01966517,0.020156706,-0.0686547,-0.00324256,-0.053925805
-0.09251946,0.10798374,0.000327278,0.10905923,-0.09145682,-0.011745994,-0.047035314,-0.000899244,-0.06943904
-0.34164184,-0.108208835,-0.009910158,-0.086808495,0.05968623,-0.20677592,-0.16562337,-0.010006979,-0.2531587
-0.18419024,-0.04496384,-0.019024823,-0.031808328,0.007750991,-0.2660484,0.2424945,-0.008360297,0.112460375
-0.119927175,0.11354172,-0.001242376,0.10831186,-0.087014586,-0.005915036,-0.04788073,-0.000143774,-0.06941606
-0.11942841,0.06031159,-0.006923384,0.029053155,-0.002079641,-0.23871554,-0.02597242,-0.006760098,-0.013546997
-0.32575566,0.2802181,0.008042273,0.28263232,-0.23204286,0.090823635,-0.08925207,0.003079873,-0.15160888
-0.08176725,0.002975013,0.002540891,0.036778446,-0.054953665,-0.018694336,-0.04610725,-0.000881407,-0.07616754
-0.5182489,-0.102746904,-0.008990937,-0.015744898,-0.06543184,0.030996034,-0.06121017,-0.011309251,0.08563098
-0.30838186,0.056405697,0.020913694,0.11753519,-0.14783081,-0.3193423,0.12595797,-0.010175467,0.12488747
-0.015595483,-0.038350318,0.022255644,0.030721452,-0.08297442,0.07660818,0.7274546,0.05016256,0.28986183
-0.011271525,0.13786161,0.023486871,0.106888145,-0.07773995,-0.19334199,0.56881523,0.021539439,0.23793653
0.38152292,-0.36344382,0.00312164,-0.6493985,0.7065519,0.40274528,0.6615439,-0.001564585,1.3948909
0.0332939,-0.06018152,0.003769574,-0.04852296,0.02802544,-0.02150974,-0.023360077,-0.001947492,-0.053868614
0.1514861,-0.11571634,0.007521906,-0.05639937,-0.018928839,0.069642685,1.6562378,0.07618325,1.2786372
0.11440775,-0.07749204,-0.004765336,-0.14641121,0.16569817,-0.000774797,-0.02352426,0.000953414,0.05166073
0.08870795,-0.072803624,0.003653951,-0.10522535,0.112358026,-0.038687587,-0.043681122,-0.003823184,-0.07529604
0.19109958,-0.06580779,-0.007138929,-0.1385222,0.16628857,-0.038505815,-0.10057348,-0.005605459,0.0668504
0.11304581,0.07131362,0.009405455,-0.012280103,0.068847306,-0.24845247,-0.08458625,-0.00556837,-0.098518044
0.005901881,-0.03477439,0.001055582,0.023134772,-0.06183224,-0.063058645,-0.039563186,-0.000720888,-0.065089196
0.35426524,-0.15805635,0.002371518,-0.19939965,0.18090108,-0.31253165,0.031411942,0.002207931,-0.037207425
-0.01994139,-0.035093937,-0.002971015,-0.008586369,-0.017336404,0.03016437,0.24804679,0.014829133,0.074986555
-0.091747925,0.26084834,0.008463027,0.23483135,-0.17106816,0.012734251,-0.09769618,-0.003881209,-0.13704042
-0.069165595,0.11001141,0.016725933,-0.13106796,0.30641052,-0.05000733,-0.06998138,0.001454003,-0.041424673
0.028533123,0.010658506,0.010056581,0.031537253,-0.0444787,-0.31259546,1.80E-05,-0.011614054,0.103111945
0.05359079,-0.068512164,0.006048466,-0.06339352,0.04770024,-0.043931477,-0.04058917,-0.003072545,-0.069156416
0.2227368,-0.21270016,0.03891847,-0.13900954,0.046524785,-0.07646809,0.2250222,0.000503495,0.15125859
0.5968457,-0.2043395,0.014296261,-0.28756416,0.28007028,0.2002045,0.5170535,0.021547362,0.76000357
0.19075127,-0.056731753,-0.001920696,-0.1119816,0.12784526,0.000882633,-0.021071061,0.000143711,-0.054694794
0.1962463,-0.07558918,0.002387146,-0.15636595,0.17938724,0.015045768,-0.033911616,0.001727264,0.05414349
0.121165045,0.005279884,0.013339281,0.03610866,-0.058714785,-0.03128352,0.5018846,0.027521793,0.018654758
0.25806275,0.3326927,0.00507295,0.14825328,0.019344617,0.012452425,-0.014015912,-0.001647815,0.061558276
0.83488834,-0.22231269,0.001255457,-0.45170087,0.52509433,0.040746845,-0.026034186,0.001155928,0.2314347
0.4064408,0.21444173,0.001871711,-0.014069382,0.17795838,0.008349208,-0.081360675,-0.001526341,-0.03458565
0.21521904,0.60139346,0.014077246,0.46923187,-0.26962247,-0.06567218,-0.09179216,0.005329594,-0.15797791
0.027905852,0.25299978,0.001110325,0.18082455,-0.095023125,-0.004248003,-0.04922627,-0.000730988,-0.06628879
0.04653611,0.22396365,0.002772237,0.1648882,-0.09100725,-0.025231604,-0.048939772,-0.002212435,-0.06975616
0.07900423,0.5905618,0.002505101,0.40661156,-0.18771449,-0.02090156,-0.095435,0.000153091,-0.13765565
0.06451963,0.42888,0.013176769,0.37127432,-0.266526,-0.035412535,-0.032038175,0.010783434,-0.17600223
-0.00127699,0.18798098,0.003801362,0.14820635,-0.09349786,-0.008229448,-0.04673188,-0.002470046,-0.06707537
0.17272905,-0.07743224,-0.004549838,-0.12610961,0.13539043,-0.013705025,-0.035666965,0.000100039,0.009028105
0.3656625,-0.15663294,0.001597646,-0.29327428,0.33549646,-0.027096337,-0.08563261,-0.004422844,-0.05537966
0.070459746,-0.047225323,0.006821836,0.011658501,-0.05761064,-0.052237406,0.16298524,0.005761448,0.07079601
0.36958143,-0.15439864,-0.005072243,-0.32200995,0.38017166,0.009437045,-0.06535871,-0.003054492,0.004835287
-0.009637794,0.26584476,0.006771812,0.23932694,-0.17740655,-0.04459046,-0.09339588,-0.003273048,-0.13623038
-0.01133127,0.15493476,0.003099625,0.13214901,-0.0925845,-0.021082036,-0.046945125,-0.002444714,-0.06623822
-0.14270602,0.4863647,0.023097895,0.45989302,-0.34907556,-0.025614705,-0.15032363,-0.005630881,-0.20019194
-0.07297982,0.131468,0.000730087,0.12083988,-0.09194999,0.010410661,-0.04963331,-0.00180909,-0.06688249
0.032872535,-0.06345683,0.002626101,-0.05661786,0.03901153,-0.033198033,-0.039374333,-0.003241763,-0.070411764
0.5006258,-0.31343827,0.012405748,-0.29384986,0.20924726,0.14904934,0.9074019,0.039861865,0.8835323
0.09552268,-0.015941814,0.001084851,-0.14017537,0.21017389,0.03180196,-0.086399764,-0.002957664,-0.08201004
-0.07233668,0.09754145,0.000695339,0.10276641,-0.088606834,-0.025524834,-0.048588734,-0.001164492,-0.07018481
-0.1482286,0.02989339,-0.003078393,0.121450335,-0.17055722,-0.03265847,-0.072949246,-0.00176245,-0.11982414
-0.56174666,0.26386526,0.047473364,0.37759873,-0.40439105,-0.023613587,0.848386,0.047851782,-0.04491993
-0.052779205,0.000469249,0.001556553,0.036593307,-0.05578004,-0.03224104,-0.047673415,-0.000780709,-0.07620658
-0.038810354,-0.17325027,0.011746537,-0.083182834,-0.004740506,-0.013767747,0.11144356,0.006187867,0.04086055
0.121553086,-0.26901948,0.027292889,-0.14755681,0.014324969,-0.059314176,0.36997983,-0.005834118,0.5499754
-0.07202514,0.0844519,-6.35E-05,0.095759705,-0.087303266,-0.036995403,-0.047458075,-0.000886641,-0.06897949
-0.15057458,0.11014913,0.002805239,0.1527708,-0.16308369,-0.059926264,-0.0902443,-0.001537561,-0.13650599
