date,val
20150209,2.812
20150210,2.852
20150211,2.932
20150212,3.058
20150213,3.091
20150215,3.175
20150216,3.182
20150217,3.4
20150225,3.328
20150226,3.298
20150227,3.318
20150228,3.441
20150302,3.453
20150303,3.45
20150304,3.446
20150305,3.433
20150306,3.416
20150309,3.381
20150310,3.35
20150311,3.347
20150312,3.4644
20150313,3.436
20150316,3.403
20150317,3.376
20150318,3.369
20150319,3.332
20150320,3.294
20150323,3.217
20150324,3.218
20150325,3.21
20150326,3.216
20150327,3.206
20150330,3.203
20150331,3.183
20150401,3.087
20150402,2.995
20150403,2.887
20150407,2.766
20150408,2.683
20150409,2.599
20150410,2.489
20150413,2.405
20150414,2.372
20150415,2.307
20150416,2.298
20150417,2.268
20150420,2.087
20150421,2.002
20150422,1.949
20150423,1.908
20150424,1.851
20150427,1.806
20150428,1.759
20150429,1.739
20150430,1.69
20150504,1.619
20150505,1.564
20150506,1.523
20150507,1.489
20150508,1.443
20150511,1.345
20150512,1.29
20150513,1.247
20150514,1.182
20150515,1.078
20150518,1.052
20150519,1.033
20150520,1.032
20150521,1.033
20150522,1.037
20150525,1.039
20150526,1.04
20150527,1.04
20150528,1.043
20150529,1.039
20150601,1.027
20150602,1.034
20150603,1.039
20150604,1.047
20150605,1.051
20150608,1.061
20150609,1.071
20150610,1.083
20150611,1.09
20150612,1.104
20150615,1.121
20150616,1.131
20150617,1.151
20150618,1.202
20150619,1.267
20150623,1.295
20150624,1.338
20150625,1.357
20150626,1.357
20150629,1.34
20150630,1.257
20150701,1.163
20150702,1.1608
20150703,1.159
20150706,1.167
20150707,1.176
20150708,1.187
20150709,1.198
20150710,1.21
20150713,1.224
20150714,1.238
20150715,1.245
20150716,1.263
20150717,1.282
20150720,1.29
20150721,1.304
20150722,1.323
20150723,1.332
20150724,1.337
20150727,1.374
20150728,1.388
20150729,1.427
20150730,1.448
20150731,1.47
20150803,1.488
20150804,1.497
20150805,1.508
20150806,1.517
20150807,1.529
20150810,1.557
20150811,1.586
20150812,1.614
20150813,1.641
20150814,1.667
20150817,1.701
20150818,1.745
20150819,1.788
20150820,1.83
20150821,1.847
20150824,1.866
20150825,1.879
20150826,1.786
20150827,1.759
20150828,1.774
20150831,1.801
20150901,1.821
20150902,2.031
20150906,1.901
20150907,1.904
20150908,1.897
20150909,1.896
20150910,1.899
20150911,1.9001
20150914,1.899
20150915,1.899
20150916,1.9
20150917,1.899
20150918,1.9
20150921,1.901
20150922,1.908
20150923,1.908
20150924,1.909
20150925,1.907
20150928,1.91
20150929,1.907
20150930,1.989
20151008,1.909
20151009,1.906
20151010,1.904
20151012,1.902
20151013,1.9
20151014,1.9
20151015,1.901
20151016,1.899
20151019,1.902
20151020,1.903
20151021,1.905
20151022,1.904
20151023,1.909
20151026,1.84
20151027,1.8
20151028,1.796
20151029,1.798
20151030,1.798
20151102,1.793
20151103,1.792
20151104,1.79
20151105,1.787
20151106,1.787
20151109,1.786
20151110,1.783
20151111,1.782
20151112,1.784
20151113,1.786
20151116,1.784
20151117,1.782
20151118,1.781
20151119,1.785
20151120,1.784
20151123,1.785
20151124,1.785
20151125,1.785
20151126,1.785
20151127,1.786
20151130,1.788
20151201,1.788
20151202,1.786
20151203,1.787
20151204,1.787
20151207,1.784
20151208,1.786
20151209,1.789
20151210,1.789
20151211,1.788
20151214,1.788
20151215,1.788
20151216,1.79
20151217,1.793
20151218,1.816
20151221,1.843
20151222,1.875
20151223,1.903
20151224,1.924
20151225,1.934
20151228,1.939
20151229,1.935
20151230,1.935
20151231,1.991
20160104,1.995
20160105,1.998
20160106,1.98
20160107,1.966
20160108,1.958
20160111,1.951
20160112,1.951
20160113,1.95
20160114,1.95
20160115,1.956
20160118,1.954
20160119,1.959
20160120,1.983
20160121,2.014
20160122,2.028
20160125,2.009
20160126,1.997
20160127,1.995
20160128,1.992
20160129,1.989
20160201,1.987
20160202,1.984
20160203,1.983
20160204,1.983
20160205,1.984
20160206,2.281
20160214,1.978
20160215,1.977
20160216,1.974
20160217,1.968
20160218,1.951
20160219,1.938
20160222,1.934
20160223,1.933
20160224,1.956
20160225,2.004
20160226,2.048
20160229,2.007
20160301,1.968
20160302,1.962
20160303,1.957
20160304,1.95
20160307,1.951
20160308,1.95
20160309,1.95
20160310,1.947
20160311,1.945
20160314,1.949
20160315,1.953
20160316,1.956
20160317,1.97
20160318,1.99
20160321,1.998
20160322,2.007
20160323,2
20160324,1.995
20160325,1.989
20160328,1.992
20160329,1.996
20160330,2.004
20160331,2.017
20160401,2.014
20160405,1.993
20160406,1.983
20160407,1.9783
20160408,1.98
20160411,1.985
20160412,1.993
20160413,1.996
20160414,1.999
20160415,1.995
20160418,1.998
20160419,2.004
20160420,2.018
20160421,2.029
20160422,2.038
20160425,2.045
20160426,2.036
20160427,2.024
20160428,2.021
20160429,2.049
20160503,2.0033
20160504,2
20160505,2.001
20160506,2
20160509,1.999
20160510,1.999
20160511,1.999
20160512,2
20160513,2.002
20160516,2.005
20160517,2.011
20160518,2.011
20160519,2.01
20160520,2.008
20160523,2.004
20160524,2.002
20160525,2.001
20160526,2.001
20160527,2.001
20160530,2.002
20160531,2.01
20160601,2.006
20160602,2.004
20160603,1.999
20160606,1.998
20160607,2
20160608,2
20160612,2
20160613,2
20160614,2
20160615,2
20160616,2.002
20160617,2.005
20160620,2.01
20160621,2.019
20160622,2.027
20160623,2.032
20160624,2.035
20160627,2.038
20160628,2.04
20160629,2.038
20160630,2.037
20160701,2.027
20160704,2.014
20160705,2.007
20160706,1.999
20160707,1.997
20160708,1.996
20160711,1.996
20160712,1.994
20160713,1.993
20160714,1.993
20160715,1.996
20160718,1.996
20160719,2.003
20160720,2.005
20160721,2.008
20160722,2.023
20160725,2.032
20160726,2.037
20160727,2.038
20160728,2.028
20160729,2.017
20160801,2.012
20160802,2.008
20160803,2.004
20160804,2.002
20160805,2.002
20160808,2.005
20160809,2.01
20160810,2.017
20160811,2.021
20160812,2.021
20160815,2.0233
20160816,2.022
20160817,2.022
20160818,2.023
20160819,2.023
20160822,2.0233
20160823,2.033
20160824,2.043
20160825,2.044
20160826,2.044
20160829,2.049
20160830,2.063
20160831,2.065
20160901,2.066
20160902,2.066
20160905,2.07
20160906,2.077
20160907,2.0803
20160908,2.081
20160909,2.085
20160912,2.095
20160913,2.108
20160914,2.128
20160918,2.14
20160919,2.154
20160920,2.159
20160921,2.167
20160922,2.168
20160923,2.1668
20160926,2.164
20160927,2.166
20160928,2.178
20160929,2.188
20160930,2.327
20161008,2.193
20161009,2.175
20161010,2.162
20161011,2.153
20161012,2.15
20161013,2.151
20161014,2.153
20161017,2.159
20161018,2.173
20161019,2.196
20161020,2.208
20161021,2.222
20161024,2.231
20161025,2.238
20161026,2.248
20161027,2.254
20161028,2.254
20161031,2.253
20161101,2.252
20161102,2.2492
20161103,2.245
20161104,2.232
20161107,2.206
20161108,2.187
20161109,2.182
20161110,2.196
20161111,2.211
20161114,2.231
20161115,2.247
20161116,2.257
20161117,2.259
20161118,2.265
20161121,2.271
20161122,2.273
20161123,2.277
20161124,2.282
20161125,2.289
20161128,2.298
20161129,2.302
20161130,2.316
20161201,2.325
20161202,2.32
20161205,2.308
20161206,2.299
20161207,2.292
20161208,2.2908
20161209,2.2925
20161212,2.292
20161213,2.296
20161214,2.3
20161215,2.311
20161216,2.33
20161219,2.335
20161220,2.345
20161221,2.345
20161222,2.341
20161223,2.323
20161226,2.294
20161227,2.264
20161228,2.246
20161229,2.227
20161230,2.23
20170103,2.209
20170104,2.172
20170105,2.13
20170106,2.112
20170109,2.094
20170110,2.096
20170111,2.104
20170112,2.103
20170113,2.104
20170116,2.142
20170117,2.2563
20170118,2.328
20170119,2.364
20170120,2.376
20170122,2.189
20170123,2.175
20170124,2.164
20170125,2.165
20170126,2.5293
20170203,2.218
20170204,2.2571
20170206,2.278
20170207,2.281
20170208,2.2765
20170209,2.272
20170210,2.2678
20170213,2.264
20170214,2.261
20170215,2.2658
20170216,2.333
20170217,2.36
20170220,2.4086
20170221,2.483
20170222,2.4845
20170223,2.5271
20170224,2.4756
20170227,2.4338
20170228,2.493
20170301,2.4943
20170302,2.4611
20170303,2.369
20170306,2.4033
20170307,2.4041
20170308,2.4061
20170309,2.4076
20170310,2.4019
20170313,2.379
20170314,2.3761
20170315,2.3869
20170316,2.441
20170317,2.633
20170320,2.6325
20170321,2.6477
20170322,2.6507
20170323,2.657
20170324,2.604
20170327,2.482
20170328,2.448
20170329,2.521
20170330,2.507
20170331,2.5384
20170401,2.497
20170405,2.4868
20170406,2.537
20170407,2.4957
20170410,2.442
20170411,2.408
20170412,2.3885
20170413,2.413
20170414,2.429
20170417,2.444
20170418,2.486
20170419,2.575
20170420,2.5987
20170421,2.6163
20170424,2.7157
20170425,2.7514
20170426,2.759
20170427,2.792
20170428,2.819
20170502,2.8175
20170503,2.8451
20170504,2.8506
20170505,2.8348
20170508,2.818
20170509,2.8199
20170510,2.827
20170511,2.813
20170512,2.7911
20170515,2.716
20170516,2.746
20170517,2.7525
20170518,2.7641
20170519,2.715
20170522,2.6745
20170523,2.654
20170524,2.623
20170525,2.611
20170526,2.609
20170527,2.601
20170531,2.6365
20170601,2.6525
20170602,2.7953
20170605,2.8167
20170606,2.8419
20170607,2.809
20170608,2.8199
20170609,2.8275
20170612,2.8302
20170613,2.832
20170614,2.825
20170615,2.8317
20170616,2.8528
20170619,2.8635
20170620,2.8776
20170621,2.889
20170622,2.869
20170623,2.81
20170626,2.717
20170627,2.626
20170628,2.5596
20170629,2.539
20170630,2.618
20170703,2.72
20170704,2.6897
20170705,2.583
20170706,2.5473
20170707,2.533
20170710,2.549
20170711,2.621
20170712,2.646
20170713,2.659
20170714,2.627
20170717,2.6329
20170718,2.701
20170719,2.722
20170720,2.7534
20170721,2.733
20170724,2.708
20170725,2.7147
20170726,2.725
20170727,2.786
20170728,2.8152
20170731,2.806
20170801,2.8093
20170802,2.832
20170803,2.807
20170804,2.721
20170807,2.736
20170808,2.784
20170809,2.8018
20170810,2.797
20170811,2.79
20170814,2.7743
20170815,2.798
20170816,2.8213
20170817,2.8352
20170818,2.8355
20170821,2.8482
20170822,2.8171
20170823,2.8453
20170824,2.8479
20170825,2.855
20170828,2.851
20170829,2.922
20170830,2.9237
20170831,2.831
20170901,2.813
20170904,2.75
20170905,2.665
20170906,2.641
20170907,2.6406
20170908,2.636
20170911,2.644
20170912,2.6483
20170913,2.65
20170914,2.681
20170915,2.6958
20170918,2.756
20170919,2.832
20170920,2.79
20170921,2.8057
20170922,2.756
20170925,2.758
20170926,2.837
20170927,2.863
20170928,2.917
20170929,2.804
20170930,2.938
20171009,2.74
20171010,2.738
20171011,2.741
20171012,2.657
20171013,2.605
20171016,2.594
20171017,2.6003
20171018,2.596
20171019,2.592
20171020,2.5782
20171023,2.616
20171024,2.634
20171025,2.664
20171026,2.6937
20171027,2.7181
20171030,2.72
20171031,2.736
20171101,2.739
20171102,2.626
20171103,2.5772
20171106,2.512
20171107,2.552
20171108,2.595
20171109,2.646
20171110,2.717
20171113,2.787
20171114,2.827
20171115,2.806
20171116,2.8
20171117,2.738
20171120,2.786
20171121,2.808
20171122,2.809
20171123,2.803
20171124,2.797
20171127,2.819
20171128,2.799
20171129,2.683
20171130,2.788
20171201,2.642
20171204,2.6
20171205,2.579
20171206,2.573
20171207,2.585
20171208,2.608
20171211,2.688
20171212,2.726
20171213,2.788
20171214,2.803
20171215,2.724
20171218,2.723
20171219,2.741
20171220,2.73
20171221,2.665
20171222,2.612
20171225,2.569
20171226,2.589
20171227,2.666
20171228,2.672
20171229,2.84
20180102,2.657
20180103,2.5635
20180104,2.505
20180105,2.484
20180108,2.461
20180109,2.529
20180110,2.643
20180111,2.832
20180112,2.83
20180115,2.794
20180116,2.785
20180117,2.765
20180118,2.7655
20180119,2.836
20180122,2.771
20180123,2.602
20180124,2.574
20180125,2.5634
20180126,2.5506
20180129,2.566
20180130,2.554
20180131,2.594
20180201,2.5154
20180202,2.5173
20180205,2.5305
20180206,2.539
20180207,2.571
20180208,2.572
20180209,2.589
20180211,2.608
20180212,2.585
20180213,2.587
20180214,2.723
20180222,2.631
20180223,2.597
20180224,2.56
20180226,2.571
20180227,2.561
20180228,2.708
20180301,2.691
20180302,2.773
20180305,2.652
20180306,2.617
20180307,2.592
20180308,2.57
20180309,2.573
20180312,2.586
20180313,2.637
20180314,2.633
20180315,2.632
20180316,2.586
20180319,2.561
20180320,2.558
20180321,2.559
20180322,2.549
20180323,2.545
20180326,2.543
20180327,2.5935
20180328,2.592
20180329,2.581
20180330,2.69
20180402,2.622
20180403,2.574
20180404,2.469
20180408,2.446
20180409,2.528
20180410,2.551
20180411,2.561
20180412,2.557
20180413,2.557
20180416,2.582
20180417,2.665
20180418,2.679
20180419,2.733
20180420,2.747
20180423,2.724
20180424,2.736
20180425,2.728
20180426,2.765
20180427,2.921
20180428,2.824
20180502,2.72
20180503,2.681
20180504,2.594
20180507,2.582
20180508,2.575
20180509,2.52
20180510,2.509
20180511,2.487
20180514,2.58
20180515,2.641
20180516,2.766
20180517,2.597
20180518,2.563
20180521,2.527
20180522,2.525
20180523,2.53
20180524,2.53
20180525,2.528
20180528,2.533
20180529,2.742
20180530,2.884
20180531,2.831
20180601,2.801
20180604,2.599
20180605,2.584
20180606,2.562
20180607,2.555
20180608,2.563
20180611,2.573
20180612,2.584
20180613,2.589
20180614,2.591
20180615,2.592
20180619,2.59
20180620,2.619
20180621,2.593
20180622,2.586
20180625,2.564
20180626,2.518
20180627,2.445
20180628,2.289
20180629,2.628
20180702,2.519
20180703,2.42
20180704,2.199
20180705,2.132
20180706,1.967
20180709,1.991
20180710,2.308
20180711,2.406
20180712,2.487
20180713,2.48
20180716,2.557
20180717,2.591
20180718,2.525
20180719,2.416
20180720,2.346
20180723,2.362
20180724,2.353
20180725,2.349
20180726,2.321
20180727,2.284
20180730,2.198
20180731,2.066
20180801,2.028
20180802,1.97
20180803,1.849
20180806,1.819
20180807,1.613
20180808,1.422
20180809,1.622
20180810,1.826
20180813,2.113
20180814,2.328
20180815,2.345
20180816,2.511
20180817,2.58
20180820,2.625
20180821,2.636
20180822,2.538
20180823,2.454
20180824,2.392
20180827,2.44
20180828,2.4255
20180829,2.3895
20180830,2.277
20180831,2.309
20180903,2.277
20180904,2.195
20180905,2.164
20180906,2.494
20180907,2.591
20180910,2.573
20180911,2.59
20180912,2.557
20180913,2.53
20180914,2.489
20180917,2.466
20180918,2.654
20180919,2.562
20180920,2.519
20180921,2.514
20180925,2.543
20180926,2.553
20180927,2.46
20180928,2.445
20180929,2.073
20180930,2.653
20181008,2.536
20181009,2.502
20181010,2.398
20181011,2.36
20181012,2.439
20181015,2.377
20181016,2.373
20181017,2.353
20181018,2.427
20181019,2.445
20181022,2.475
20181023,2.451
20181024,2.393
20181025,2.215
20181026,2.067
20181029,1.852
20181030,1.566
20181031,2.37
20181101,2.547
20181102,2.477
20181105,2.4345
20181106,2.27
20181107,2.0906
20181108,1.978
20181109,2.038
20181112,2.309
20181113,2.468
20181114,2.325
20181115,2.339
20181116,2.345
20181119,2.551
20181120,2.609
20181121,2.579
20181122,2.456
20181123,2.356
20181126,2.498
20181127,2.556
20181128,2.539
20181129,2.262
20181130,2.642
20181203,2.515
20181204,2.445
20181205,2.267
20181206,2.418
20181207,2.416
20181210,2.453
20181211,2.463
20181212,2.424
20181213,2.519
20181214,2.655
20181217,2.625
20181218,2.669
20181219,2.654
20181220,2.567
20181221,2.486
20181224,2.316
20181225,2.028
20181226,2.029
20181227,1.793
20181228,1.47
20181229,2.554
20190102,2.3
20190103,1.968
20190104,1.649
20190107,1.447
20190108,1.414
20190109,1.567
20190110,1.743
20190111,1.708
20190114,1.878
20190115,2.245
20190116,2.306
20190117,2.259
20190118,2.1785
20190121,2.24
20190122,2.243
20190123,2.244
20190124,2.263
20190125,2.362
20190128,2.194
20190129,2.078
20190130,2.0021
20190131,2.238
20190201,2.1
20190202,2.264
20190203,2.086
20190211,2.265
20190212,2.017
20190213,1.722
20190214,1.721
20190215,1.713
20190218,1.8224
20190219,1.967
20190220,1.854
20190221,2.03
20190222,2.431
20190225,2.605
