date,val
20190226,2.705
20190227,2.654
20190228,2.584
20190301,2.155
20190304,1.933
20190305,2.266
20190306,2.074
20190307,2.06
20190308,2.047
20190311,2.092
20190312,2.365
20190313,2.079
20190314,2.31
20190315,2.655
20190318,2.756
20190319,2.666
20190320,2.714
20190321,2.661
20190322,2.62
20190325,2.535
20190326,2.495
20190327,2.286
20190328,2.041
20190329,2.486
20190401,2.315
20190402,1.956
20190403,1.663
20190404,1.417
20190408,1.428
20190409,1.797
20190410,2.278
20190411,2.735
20190412,2.652
20190415,2.797
20190416,2.883
20190417,2.998
20190418,2.812
20190419,2.661
20190422,2.557
20190423,2.828
20190424,2.752
20190425,2.785
20190426,2.496
20190428,2.07
20190429,1.7
20190430,2.086
20190505,1.79
20190506,1.642
20190507,1.391
20190508,1.141
20190509,1.513
20190510,1.826
20190513,2.156
20190514,2.4123
20190515,2.5334
20190516,2.281
20190517,2.134
20190520,2.5845
20190521,2.75
20190522,2.623
20190523,2.584
20190524,2.342
20190527,2.666
20190528,2.76
20190529,2.491
20190530,2.067
20190531,2.194
20190603,2.003
20190604,1.738
20190605,1.593
20190606,1.521
20190610,1.848
20190611,2.053
20190612,1.939
20190613,1.924
20190614,1.723
20190617,1.801
20190618,1.601
20190619,1.447
20190620,1.253
20190621,1.112
20190624,1
20190625,1.023
20190626,0.991
20190627,0.9615
20190628,1.3705
20190701,1.065
20190702,0.914
20190703,0.877
20190704,0.844
20190705,1.055
20190708,1.445
20190709,1.773
20190710,1.814
20190711,1.998
20190712,2.235
20190715,2.6175
20190716,2.725
20190717,2.711
20190718,2.772
20190719,2.827
20190722,2.6698
20190723,2.562
20190724,2.481
20190725,2.628
20190726,2.636
20190729,2.629
20190730,2.621
20190731,2.642
20190801,2.634
20190802,2.634
20190805,2.544
20190806,2.261
20190807,2.22
20190808,2.5
20190809,2.596
20190812,2.629
20190813,2.667
20190814,2.689
20190815,2.659
20190816,2.665
20190819,2.666
20190820,2.642
20190821,2.5832
20190822,2.544
20190823,2.586
20190826,2.639
20190827,2.677
20190828,2.609
20190829,2.478
20190830,2.572
20190902,2.55
20190903,2.513
20190904,2.445
20190905,2.536
20190906,2.597
20190909,2.607
20190910,2.553
20190911,2.451
20190912,2.369
20190916,2.336
20190917,2.565
20190918,2.633
20190919,2.737
20190920,2.746
20190923,2.759
20190924,2.369
20190925,2.046
20190926,1.637
20190927,1.313
20190929,1.249
20190930,2.635
20191008,2.627
20191009,2.202
20191010,2.016
20191011,1.911
20191012,2.215
20191014,2.555
20191015,2.703
20191016,2.694
20191017,2.585
20191018,2.618
20191021,2.682
20191022,2.799
20191023,2.654
20191024,2.446
20191025,2.506
20191028,2.478
20191029,2.368
20191030,2.303
20191031,2.59
20191101,2.301
20191104,2.075
20191105,1.88
20191106,1.788
20191107,1.915
20191108,1.902
20191111,2.033
20191112,2.376
20191113,2.598
20191114,2.666
20191115,2.693
20191118,2.707
20191119,2.343
20191120,1.899
20191121,1.849
20191122,1.948
20191125,2.234
20191126,2.323
20191127,2.233
20191128,2.078
20191129,2.356
20191202,2.233
20191203,2.132
20191204,1.971
20191205,1.906
20191206,2.073
20191209,2.345
20191210,2.198
20191211,2.081
20191212,2.053
20191213,2.133
20191216,2.437
20191217,2.506
20191218,2.485
20191219,2.0575
20191220,1.814
20191223,1.557
20191224,1.114
20191225,0.943
20191226,0.848
20191227,1.075
20191230,1.2
20191231,1.694
20200102,1.4436
20200103,1.162
20200106,1.003
20200107,1.215
20200108,1.553
20200109,1.69
20200110,1.7722
20200113,2.059
20200114,2.518
20200115,2.654
20200116,2.609
20200117,2.522
20200119,2.413
20200120,2.248
20200121,1.885
20200122,1.534
20200123,2.444
20200203,2.504
20200204,2.273
20200205,2.051
20200206,1.819
20200207,1.793
20200210,1.652
20200211,1.56
20200212,1.521
20200213,1.443
20200214,1.256
20200217,1.425
20200218,1.503
20200219,1.626
20200220,1.403
20200221,1.355
20200224,1.533
20200225,1.602
20200226,1.499
20200227,1.347
20200228,1.628
20200302,1.714
20200303,1.622
20200304,1.462
20200305,1.45
20200306,1.362
20200309,1.588
20200310,2.014
20200311,2.118
20200312,1.664
20200313,1.414
20200316,1.231
20200317,1.083
20200318,0.963
20200319,0.846
20200320,0.795
20200323,0.845
20200324,0.814
20200325,0.847
20200326,0.845
20200327,1.104
20200330,1.374
20200331,1.614
20200401,1.403
20200402,1.278
20200403,1.001
20200407,0.806
20200408,0.893
20200409,1.182
20200410,1.349
20200413,1.378
20200414,0.994
20200415,0.801
20200416,0.702
20200417,0.716
20200420,0.896
20200421,0.901
20200422,0.901
20200423,0.893
20200424,0.912
20200426,0.908
20200427,0.874
20200428,0.874
20200429,0.661
20200430,1.888
20200506,1.483
20200507,1.143
20200508,0.938
20200509,0.85
20200511,0.876
20200512,0.803
20200513,0.705
20200514,0.743
20200515,0.864
20200518,0.905
20200519,1.385
20200520,1.22
20200521,1.104
20200522,1.094
20200525,1.473
20200526,1.88
20200527,2.104
20200528,2.102
20200529,2.097
20200601,1.629
20200602,1.468
20200603,1.885
20200604,1.963
20200605,1.582
20200608,1.89
20200609,1.833
20200610,1.849
20200611,1.757
20200612,1.529
20200615,1.477
20200616,1.751
20200617,2.048
20200618,2.123
20200619,2.131
20200622,2.133
20200623,1.971
20200624,1.54
20200628,1.096
20200629,1.012
20200630,1.785
20200701,1.967
20200702,1.745
20200703,1.364
20200706,1.346
20200707,1.706
20200708,2.088
20200709,2.189
20200710,2.197
20200713,2.128
20200714,1.67
20200715,2.022
20200716,2.2465
20200717,2.328
20200720,1.9565
20200721,1.584
20200722,1.336
20200723,1.858
20200724,1.843
20200727,1.994
20200728,1.753
20200729,1.45
20200730,1.369
20200731,1.788
20200803,1.57
20200804,1.925
20200805,1.69
20200806,1.661
20200807,2.057
20200810,2.129
20200811,2.201
20200812,2.152
20200813,2.162
20200814,2.175
20200817,2.128
20200818,2.115
20200819,2.148
20200820,2.172
20200821,2.258
20200824,2.3595
20200825,1.969
20200826,1.63
20200827,1.477
20200828,1.345
20200831,1.766
20200901,2.104
20200902,2.094
20200903,1.742
20200904,2.052
20200907,2.088
20200908,2.051
20200909,1.607
20200910,1.34
20200911,1.464
20200914,1.607
20200915,1.731
20200916,1.404
20200917,1.769
20200918,2.101
20200921,2.204
20200922,2.286
20200923,1.884
20200924,1.424
20200925,1.113
20200927,0.685
20200928,0.602
20200929,0.913
20200930,2.361
20201009,2.038
20201010,1.628
20201012,1.53
20201013,1.7
20201014,1.962
20201015,2.063
20201016,2.017
20201019,2.187
20201020,2.162
20201021,1.988
20201022,1.911
20201023,2.161
20201026,2.18
20201027,2.38
20201028,2.379
20201029,2.125
20201030,2.236
20201102,2.322
20201103,1.868
20201104,1.449
20201105,1.377
20201106,1.79
20201109,2.193
20201110,2.333
20201111,2.314
20201112,2.521
20201113,2.523
20201116,2.252
20201117,1.798
20201118,1.72
20201119,1.918
20201120,1.959
20201123,1.839
20201124,1.828
20201125,1.578
20201126,1.298
20201127,0.836
20201130,1.115
20201201,0.764
20201202,0.742
20201203,0.901
20201204,1.086
20201207,1.366
20201208,1.302
20201209,1.065
20201210,0.979
20201211,1.431
20201214,1.702
20201215,1.403
20201216,0.974
20201217,1.356
20201218,1.723
20201221,1.489
20201222,1.015
20201223,0.623
20201224,0.609
20201225,0.793
20201228,0.673
20201229,0.624
20201230,0.644
20201231,1.093
20210104,0.899
20210105,0.729
20210106,0.616
20210107,0.921
20210108,0.965
20210111,1.216
20210112,1.333
20210113,1.401
20210114,1.675
20210115,1.738
20210118,2.125
20210119,2.236
20210120,2.457
20210121,2.573
20210122,2.436
20210125,2.45
20210126,2.726
20210127,2.97
20210128,3.024
20210129,3.282
20210201,2.795
20210202,2.313
20210203,1.859
20210204,2.075
20210205,1.909
20210207,1.573
20210208,1.906
20210209,1.772
20210210,1.925
20210218,2.341
20210219,1.886
20210220,1.457
20210222,1.512
20210223,1.984
20210224,1.512
20210225,1.703
20210226,2.092
20210301,2.154
20210302,1.775
20210303,1.471
20210304,1.926
20210305,1.565
20210308,1.704
20210309,2.024
20210310,1.747
20210311,1.796
20210312,1.787
20210315,2.245
20210316,2.14
20210317,1.968
20210318,2.206
20210319,2.135
20210322,2.052
20210323,1.976
20210324,1.822
20210325,2.029
20210326,1.762
20210329,1.814
20210330,1.825
20210331,2.124
20210401,2.143
20210402,1.734
20210406,1.765
20210407,1.824
20210408,1.76
20210409,1.784
20210412,1.792
20210413,1.781
20210414,1.81
20210415,1.81
20210416,1.946
20210419,2.118
20210420,1.854
20210421,1.864
20210422,2.127
20210423,1.942
20210425,2.018
20210426,2.075
20210427,1.814
20210428,1.78
20210429,1.823
20210430,2.285
20210506,2.097
20210507,1.779
20210508,1.494
20210510,1.663
20210511,1.938
20210512,1.951
20210513,1.966
20210514,1.805
20210517,2.136
20210518,2.119
20210519,2.025
20210520,2.092
20210521,1.996
20210524,2.171
20210525,2.194
20210526,1.99
20210527,2.117
20210528,2.166
20210531,2.227
20210601,2.187
20210602,2.04
20210603,1.852
20210604,2.175
20210607,2.299
20210608,2.193
20210609,2.188
20210610,1.892
20210611,1.998
20210615,2.104
20210616,2.006
20210617,1.876
20210618,2.014
20210621,2.247
20210622,2.301
20210623,2.208
20210624,1.853
20210625,1.55
20210628,1.558
20210629,1.795
20210630,2.177
20210701,1.734
20210702,1.614
20210705,1.665
20210706,1.908
20210707,2.068
20210708,1.791
20210709,2.206
20210712,1.94
20210713,2.05
20210714,1.984
20210715,2.098
20210716,2.115
20210719,2.111
20210720,2.178
20210721,2.182
20210722,2.114
20210723,2.057
20210726,2.119
20210727,2.27
20210728,2.092
20210729,1.644
20210730,2.178
20210802,1.876
20210803,1.836
20210804,1.71
20210805,1.709
20210806,1.859
20210809,2.212
20210810,2.25
20210811,2.032
20210812,1.94
20210813,2.176
20210816,2.105
20210817,1.972
20210818,1.725
20210819,1.841
20210820,2.042
20210823,2.143
20210824,2.262
20210825,2.211
20210826,2.199
20210827,2.092
20210830,1.846
20210831,2.195
20210901,2.122
20210902,2.082
20210903,1.943
20210906,2.115
20210907,2.187
20210908,2.184
20210909,2.029
20210910,2.109
20210913,2.165
20210914,2.296
20210915,2.137
20210916,2.21
20210917,2.213
20210918,2.107
20210922,2.161
20210923,2.035
20210924,1.695
20210926,1.691
20210927,1.708
20210928,1.946
20210929,1.505
20210930,2.22
20211008,2.105
20211009,1.635
20211011,2.135
20211012,2.101
20211013,2.157
20211014,2.106
20211015,2.065
20211018,2.131
20211019,2.223
20211020,2.104
20211021,1.683
20211022,1.672
20211025,1.61
20211026,1.546
20211027,1.921
20211028,1.94
20211029,2.142
20211101,2.03
20211102,2.126
20211103,2
20211104,1.886
20211105,1.887
20211108,1.897
20211109,2.137
20211110,1.833
20211111,1.881
20211112,1.856
20211115,1.787
20211116,1.923
20211117,2.152
20211118,1.932
20211119,1.998
20211122,1.946
20211123,2.178
20211124,1.788
20211125,1.823
20211126,1.712
20211129,1.86
20211130,2.173
20211201,2.017
20211202,1.984
20211203,1.913
20211206,1.817
20211207,2.13
20211208,2.151
20211209,2.154
20211210,1.807
20211213,2.108
20211214,2.168
20211215,2.137
20211216,2.116
20211217,1.862
20211220,1.994
20211221,1.858
20211222,1.687
20211223,1.631
20211224,1.84
20211227,1.778
20211228,1.616
20211229,1.343
20211230,1.276
20211231,2.129
20220104,1.925
20220105,1.777
20220106,1.714
20220107,1.839
20220110,1.878
20220111,1.984
20220112,1.972
20220113,2.218
20220114,2.209
20220117,2.113
20220118,1.921
20220119,2.035
20220120,2.035
20220121,2.063
20220124,1.935
20220125,1.931
20220126,1.74
20220127,1.614
20220128,1.2
20220129,1.255
20220130,2.155
20220207,2.112
20220208,2.044
20220209,1.728
20220210,1.673
20220211,1.812
20220214,1.866
20220215,1.807
20220216,1.942
20220217,1.855
20220218,2.11
20220221,2.195
20220222,2.039
20220223,2.043
20220224,2.197
20220225,2.231
20220228,2.234
20220301,1.801
20220302,1.887
20220303,1.729
20220304,1.902
20220307,2.039
20220308,2.056
20220309,2.024
20220310,2.025
20220311,2.051
20220314,2.063
20220315,2.063
20220316,2.04
20220317,2.009
20220318,1.992
20220321,2.015
20220322,1.946
20220323,2.003
20220324,2.005
20220325,2.001
20220328,1.946
20220329,1.727
20220330,1.557
20220331,2.011
20220401,1.604
20220402,1.308
20220406,1.848
20220407,1.825
20220408,1.751
20220411,1.856
20220412,1.772
20220413,1.665
20220414,1.552
20220415,1.339
20220418,1.403
20220419,1.294
20220420,1.303
20220421,1.294
20220422,1.255
20220424,1.302
20220425,1.303
20220426,1.306
20220427,1.303
20220428,1.301
20220429,1.838
20220505,1.783
20220506,1.351
20220507,1.294
20220509,1.309
20220510,1.305
20220511,1.325
20220512,1.309
20220513,1.31
20220516,1.311
20220517,1.325
20220518,1.326
20220519,1.414
20220520,1.322
20220523,1.323
20220524,1.325
20220525,1.347
20220526,1.364
20220527,1.381
20220530,1.405
20220531,1.588
20220601,1.413
20220602,1.432
20220606,1.454
20220607,1.421
20220608,1.419
20220609,1.414
20220610,1.403
20220613,1.408
20220614,1.413
20220615,1.413
20220616,1.413
20220617,1.414
20220620,1.418
20220621,1.438
20220622,1.444
20220623,1.437
20220624,1.435
20220627,1.438
20220628,1.438
20220629,1.372
20220630,1.901
20220701,1.441
20220704,1.418
20220705,1.367
20220706,1.21
20220707,1.222
20220708,1.216
20220711,1.223
20220712,1.211
20220713,1.219
20220714,1.195
20220715,1.211
20220718,1.218
20220719,1.242
20220720,1.27
20220721,1.254
20220722,1.194
20220725,1.074
20220726,1.018
20220727,1.008
20220728,1.014
20220729,1.254
20220801,1.177
20220802,1.076
20220803,1.026
20220804,1.025
20220805,1.019
20220808,1.013
20220809,1.018
20220810,1.068
20220811,1.03
20220812,1.044
20220815,1.043
20220816,1.075
20220817,1.138
20220818,1.187
20220819,1.211
20220822,1.1433
20220823,1.109
20220824,1.122
20220825,1.153
20220826,1.258
20220829,1.235
20220830,1.124
20220831,1.401
20220901,1.463
20220902,1.175
20220905,1.033
20220906,1.069
20220907,1.113
20220908,1.159
20220909,1.173
20220913,1.171
20220914,1.173
20220915,1.226
20220916,1.294
20220919,1.41
20220920,1.458
20220921,1.468
20220922,1.461
20220923,1.465
20220926,1.429
20220927,1.399
20220928,1.27
20220929,0.964
20220930,2.081
20221008,1.652
20221009,1.178
20221010,1.11
20221011,1.183
20221012,1.155
20221013,1.182
20221014,1.133
20221017,1.167
20221018,1.134
20221019,1.116
20221020,1.154
20221021,1.23
20221024,1.394
20221025,1.763
20221026,1.775
20221027,1.764
20221028,1.327
20221031,1.739
20221101,1.843
20221102,1.755
20221103,1.324
20221104,1.386
20221107,1.62
20221108,1.756
20221109,1.808
20221110,1.826
20221111,1.704
20221114,1.646
20221115,1.853
20221116,1.936
20221117,1.699
20221118,1.364
20221121,1.139
20221122,0.871
20221123,1.039
20221124,1.044
20221125,1.021
20221128,1.033
20221129,1.023
20221130,1.515
20221201,1.458
20221202,1.157
20221205,1.08
20221206,1.043
20221207,1.007
20221208,1.064
20221209,1.071
20221212,1.052
20221213,1.032
20221214,1.199
20221215,1.223
20221216,1.224
20221219,1.217
20221220,1.166
20221221,0.921
20221222,0.783
20221223,0.585
20221226,0.82
20221227,0.632
20221228,0.522
20221229,0.441
20221230,1.957
20230103,1.475
20230104,1.003
20230105,0.574
20230106,0.539
20230109,0.671
20230110,1.116
20230111,1.426
20230112,1.465
20230113,1.242
20230116,1.568
20230117,1.852
20230118,1.933
20230119,1.656
20230120,1.834
20230128,1.432
20230129,1.202
20230130,1.411
20230131,1.988
20230201,2.119
20230202,1.635
20230203,1.262
20230206,1.782
20230207,2.241
20230208,2.365
20230209,2.318
20230210,1.865
20230213,1.412
20230214,1.576
20230215,1.902
20230216,2.005
20230217,2.115
20230220,2.157
20230221,2.195
20230222,1.765
20230223,1.475
20230224,1.433
20230227,1.817
20230228,2.083
20230301,2.087
20230302,1.62
20230303,1.291
20230306,1.231
20230307,1.436
20230308,1.648
20230309,1.373
20230310,1.829
20230313,1.614
20230314,1.829
20230315,2.109
20230316,2.294
